id,value
id_0,25.312113612580486
id_1,63.53616672200089
id_2,18.923020792157892
id_3,29.210642693034114
id_4,9.221766877767326
id_5,33.4947972633293
id_6,40.97000049306306
id_7,18.171584237709514
id_8,52.6782005220855
id_9,32.305298397730645
id_10,38.43581042809579
id_11,59.02843393302923
id_12,35.40853916006469
id_13,41.657113408477976
id_14,26.453415775217824
id_15,12.977545752613342
id_16,52.00194197717267
id_17,23.938534732143466
id_18,18.305612237137296
id_19,19.36276330372843
id_20,15.900915757640474
id_21,31.448116398417746
id_22,39.28418202507605
id_23,11.184596052738007
id_24,61.214752003036125
id_25,45.7716251827991
id_26,28.95875337443372
id_27,6.1039517084972585
id_28,28.645426814020585
id_29,37.29640121606136
id_30,18.306873355027975
id_31,11.242053176300015
id_32,16.43436546648563
id_33,7.680457910735503
id_34,14.990815202934185
id_35,41.8589120704673
id_36,21.769527171009297
id_37,27.616621912248526
id_38,3.7429351942227345
id_39,59.54183565876774
id_40,48.12548628492824
id_41,20.274100558864056
id_42,52.58626523472381
id_43,19.183353559883113
id_44,45.28834262447132
id_45,48.563560766338604
id_46,57.32525904022426
id_47,41.60805874911549
id_48,55.691194179022546
id_49,39.79726093323471
id_50,30.781482390278974
id_51,23.644966790379666
id_52,38.89493429425121
id_53,23.23049845310419
id_54,37.26482584812122
id_55,38.63081947671424
id_56,25.57326042213172
id_57,22.08819416334335
id_58,35.46587248174153
id_59,31.754111565275032
id_60,13.26433560633325
id_61,21.727067253616426
id_62,32.36992107811092
id_63,53.69635983943802
id_64,51.08592919105467
id_65,26.02134756464268
id_66,38.17969670140813
id_67,53.2426716567103
id_68,29.01780068786894
id_69,40.30375110550419
id_70,64.53207060733895
id_71,55.56844484851557
id_72,41.82860366263128
id_73,14.122026592525673
id_74,13.865023565055228
id_75,36.18236758188558
id_76,62.90801254653934
id_77,2.6082966974093953
id_78,40.75638439967728
id_79,42.349729283816345
id_80,7.804483870513298
id_81,22.73493584560278
id_82,5.409373050917285
id_83,30.465611381736377
id_84,8.690205042298514
id_85,5.570456125473548
id_86,16.82007728977241
id_87,10.390024372653624
id_88,20.45858562337227
id_89,25.566080743773558
id_90,35.2909663977611
id_91,11.682365342785246
id_92,12.576961134819712
id_93,9.277565524280115
id_94,37.307010289227044
id_95,15.127750368938303
id_96,16.459756299944978
id_97,9.236833921653245
id_98,11.994624020267786
id_99,4.874486865990776
id_100,9.735562390402633
id_101,17.972468065146977
id_102,12.373378466849337
id_103,7.858858417864568
id_104,12.953137939019447
id_105,36.27997445488465
id_106,26.575943252242208
id_107,7.431265559090884
id_108,16.87774792603392
id_109,14.938186446236616
id_110,12.265688984806296
id_111,17.181287357041224
id_112,16.068420627497375
id_113,26.63664344216097
id_114,18.994493783306467
id_115,16.522933080592885
id_116,6.0953463961075816
id_117,46.35882567985429
id_118,26.988276389538207
id_119,0.5213050511406431
id_120,-0.9630027876823575
id_121,9.38933752188622
id_122,12.765901886852873
id_123,13.000308360447486
id_124,7.75780920096811
id_125,24.901264785848685
id_126,20.723525329148952
id_127,10.106542296901518
id_128,20.73927646693061
id_129,14.099571316042944
id_130,-0.35653687144736
id_131,33.105896295423285
id_132,14.210127558002911
id_133,20.479694669954704
id_134,26.204969064145455
id_135,23.87790366209529
id_136,9.93559096093624
id_137,21.02224835710268
id_138,78.57814125864385
id_139,60.09648154230231
id_140,27.160179746645788
id_141,18.19578042109634
id_142,24.645016225588794
id_143,7.219687651902372
id_144,11.747845299151253
id_145,10.05917428983965
id_146,19.61849144932007
id_147,8.189796961505593
id_148,12.930722814939685
id_149,15.44867042070331
id_150,46.3645279428328
id_151,21.87990019495843
id_152,22.04136364510217
id_153,14.937223579336905
id_154,13.94370820511469
id_155,25.213014305417477
id_156,25.574218146729102
id_157,36.14766248478866
id_158,4.5975182889878585
id_159,23.333976272725288
id_160,42.28650881924881
id_161,19.617084548600836
id_162,64.24985876999278
id_163,17.124239468650764
id_164,33.75556201201574
id_165,23.300955769438755
id_166,24.44774464180948
id_167,0.1419179574429711
id_168,66.67340656885416
id_169,14.961907862539748
id_170,15.908794638711996
id_171,68.53723154825258
id_172,20.402226097745437
id_173,1.708038654225937
id_174,24.45642629417283
id_175,-0.47818069093711024
id_176,7.357260048705673
id_177,18.417440522609343
id_178,19.78404831188625
id_179,25.00663228647387
id_180,43.32237787164714
id_181,31.48020334681192
id_182,27.6159445504758
id_183,12.582892439479679
id_184,6.40693178169224
id_185,41.905848738326505
id_186,35.94057969094375
id_187,34.962320085033284
id_188,17.444559484174246
id_189,23.345300446986396
id_190,14.700121962170622
id_191,16.22648726126634
id_192,31.26311981774238
id_193,62.149643304499406
id_194,29.105447076246588
id_195,10.449590276361981
id_196,63.59786089120896
id_197,15.70408872020536
id_198,20.32006255182431
id_199,21.03442533431076
id_200,124.12839608615839
id_201,23.459009413635226
id_202,58.68851836764597
id_203,6.469835890809261
id_204,60.35023374095893
id_205,37.241047151654875
id_206,15.176898851925392
id_207,14.251044924905651
id_208,63.26720594275639
id_209,14.528510658502421
id_210,36.10410850255499
id_211,69.03857817908221
id_212,19.041995447427645
id_213,113.3121585456624
id_214,41.41856545496506
id_215,78.60807885424653
id_216,92.49405004467181
id_217,72.34606485245168
id_218,30.824852139641084
id_219,18.636304559931283
id_220,29.641348803247034
id_221,57.78378481131639
id_222,27.947405580832903
id_223,38.33009862004281
id_224,43.82073524735189
id_225,10.476549269718307
id_226,3.3984375518368473
id_227,80.49009715175706
id_228,31.271298698879686
id_229,0.9315519353982298
id_230,41.138917553840585
id_231,16.40817763802985
id_232,22.008937692898524
id_233,8.188228241645973
id_234,14.285667954235134
id_235,25.424910952100827
id_236,13.775164399458493
id_237,2.566879328168156
id_238,21.99754088691958
id_239,11.166532721959236
